type,title,cast,release_year,duration,listed_in,plataform
Movie,Mad Max,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley, Tim Burns, Roger Ward, Lisa Aldenhoven, Bertrand Cadart",1979,93,"Action & Adventure, Classic Movies, Cult Movies",netflix
TV Show,Mad Men,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones, Christina Hendricks, Aaron Staton, Rich Sommer, John Slattery, Kiernan Shipka, Robert Morse, Michael Gladis, Christopher Stanley, Bryan Batt, Jared Harris, Jessica Paré, Alison Brie, Jay R. Ferguson, Ben Feldman, Mark Moses, Alexa Alemanni, Julie McNiven",2014,7,TV Dramas,netflix
Movie,Mad Money,"Diane Keaton, Queen Latifah, Katie Holmes, Ted Danson, Roger Cross, Adam Rothenberg, Stephen Root, Christopher McDonald, Meagen Fay, J.C. MacKenzie, Finesse Mitchell, Eric Keenleyside",2008,99,Comedies,netflix
Movie,Mad Ron's Prevues from Hell,"Nick Pawlow, Jordu Schell, Jay Kushwara, Michael Townsend Wright, Anthony Kelly, Happy Goldsplatt, Ron Roccia, Fred Pomerleau, Joe Amodei, Nicholas Kitsopoulos",1987,84,"Cult Movies, Horror Movies",netflix
Movie,Mad World,"Shawn Yue, Eric Tsang, Elaine Jin, Charmaine Fong",2016,102,"Dramas, International Movies",netflix
Movie,Madaari,"Irrfan Khan, Jimmy Shergill, Vishesh Bansal, Tushar Dalvi, Nitish Pandey",2016,134,"Dramas, Independent Movies, International Movies",netflix
Movie,Maddman: The Steve Madden Story,Steve Madden,2017,78,Documentaries,netflix
Movie,Madre,"Daniela Ramírez, Cristobal Tapia Montt, Aida, Matías Bassi, Nicolás Durán, Ignacia Allamand",2016,95,"International Movies, Thrillers",netflix
TV Show,Maggie & Bianca: Fashion Friends,"Emanuela Rei, Giorgia Boni, Sergio Ruggeri, Luca Murphy, Federica Corti, Federico Pedroni, Tiffany Zhou, Sergio Melone",2017,1,"Kids' TV, TV Comedies",netflix
TV Show,Magi: Adventure of Sinbad,"Daisuke Ono, Tomokazu Sugita, Takahiro Sakurai, Keiji Fujiwara, Akira Ishida, Katsuyuki Konishi, Yoko Hikasa, Ai Kayano, Takehito Koyasu, Hiroki Touchi",2016,1,"Anime Series, International TV Shows",netflix
Movie,Magic Snowflake,"Nathan Simony, Benoît Allemane, Vincent Grass, Jean-Claude Donda, Alexis Tomassian, Pascal Sellem, Evelyne Grandjean, Alice Révérend, Kylian Trouillard, Céline Melloul",2013,73,Children & Family Movies,netflix
Movie,Magnetic,"Tom Barrer, Liam Whaley, Wille Lindberg, Sam Favret, Fabian Bodet, Jamie Lee, Lorenzo Avvenenti, Ross Clarke-Jones",2018,110,"Action & Adventure, Documentaries, International Movies",netflix
Movie,Magnus,Magnus Carlsen,2016,75,"Children & Family Movies, Documentaries, International Movies",netflix
Movie,Mahabharat,"Amitabh Bachchan, Ajay Devgn, Vidya Balan, Shatrughan Sinha, Sunny Deol, Anil Kapoor, Manoj Bajpayee, Jackie Shroff, Anupam Kher, Deepti Naval",2013,119,"Action & Adventure, Dramas, International Movies",netflix
